,precision,recall,f1-score,support
course,1.0,0.9185185185185185,0.9575289575289575,135.0
faculty,0.8321678321678322,0.8880597014925373,0.8592057761732852,134.0
project,0.859375,0.8088235294117647,0.8333333333333333,68.0
student,0.908695652173913,0.9330357142857143,0.9207048458149779,224.0
accuracy,0.9037433155080213,0.9037433155080213,0.9037433155080213,0.9037433155080213
macro avg,0.9000596210854362,0.8871093659271337,0.8926932282126385,561.0
weighted avg,0.9064096534713834,0.9037433155080213,0.9042861593633712,561.0
